Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
cheetah camo antique white multi,N,sku_colorGroup/sku_colorCodeDesc,,497,"$2,300.45",
swift tank,N,collections/parentCategory_displayName,,561,"$4,868.60",
swiftly tech long sleeve shirt,N,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,1133,"$31,461.85",swiftly tech long sleeve shirts
crop 23,N,product_topsLength_s/product_inseam,PorterStemFilter/PatternReplaceFilter,389,"$4,005.70",
city sweat crew,N,collections/product_customAttribute4,,607,"$6,308.00",
cheetah print swiftly tech short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_colorGroup,PorterStemFilter/EnglishMinimalStemFilter,29,$0.00,
camouflage leggings,N,sku_colorGroup_fr/parentCategory_displayName,,403,"$2,286.00",camouflage tights
lip gloss shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,972,"$5,555.95",lip gloss shirt
leggings pocket,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,481,"$8,694.15",tights pocket
"4"" short",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,581,"$3,749.40",
half tight,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,684,"$7,551.50",half tight
swift shirt,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,538,"$2,546.65",swift shirts
like a cloud long line,N,sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,PorterStemFilter,595,"$6,397.80",
women dress,Y,product_customAttribute4/parentCategory_displayName/gender,EnglishMinimalStemFilter/PorterStemFilter,357,"$2,689.15",
lulu align tank,N,sku_colorCodeDesc/collections/parentCategory_displayName,,726,"$8,035.70",
built in bra tank,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,451,"$3,276.80",built in bra tank tops
sonic pink align tank,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,744,"$1,983.15",lip gloss align tank
short leggings,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,541,"$3,708.50",short tights/shorts leggings
crop 21,N,product_topsLength_s/product_inseam,PorterStemFilter/PatternReplaceFilter,405,"$2,551.65",
we made too much hotty hot,N,sku_colorCodeDesc/collections/parentCategory_displayName,,115,$166.00,
pink peony leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,371,"$2,639.80",
align short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,618,$726.30,
fast and free high,N,collections/product_customAttribute4,,590,"$12,026.05",
pace breaker lined 7,N,sku_colorCodeDesc/collections/sku_size/product_inseam,PatternReplaceFilter,507,"$8,196.75",
energy long line,N,product_topsLength_s/sku_colorCodeDesc/collections/parentCategory_displayName,PorterStemFilter,553,"$4,455.20",
wunder train racerback tank,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter,584,"$5,915.40",
love crewneck t-shirt,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,589,"$5,537.22",
long pants,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,,483,"$3,492.00",
poolside tank,N,sku_colorCodeDesc/parentCategory_displayName,,438,$869.50,poolside tank tops
wunder train high,N,collections/product_customAttribute4/product_activity,PorterStemFilter,827,"$26,166.70",
green shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,523,"$3,016.85",
wunder train tight,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter,563,"$8,552.50",
shirt sleeve shirt,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,401,"$1,116.00",shirt sleeve shirts/shirt sleeve top
tight shirt,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,568,$700.05,
align s,N,collections/sku_size,,544,"$1,894.80",
we made too much black shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,16,$0.00,
hotty hot 25 shorts,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,394,"$3,027.80",
fast and free tight,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,604,"$9,696.95",
pace breaker short 7,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,890,"$16,600.00","pace breaker short 7""/pace breaker shorts 7"
cross bags,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,488,"$4,629.00",
we made too much scuba,N,collections/parentCategory_displayName,,528,"$3,707.70",
kelly green leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,479,"$4,103.10",kelly green leg
we made too much swiftly,N,collections/parentCategory_displayName,,409,$923.40,
shorts 5,Y,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,594,"$4,318.60","short 5"""
light pink shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,405,$954.00,
free to be bra wild,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,657,"$10,818.65",
at ease half zip,N,collections/product_customAttribute4,,557,"$10,974.73",
orange shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,430,"$1,094.70",
swim shirt,N,product_customAttribute4/parentCategory_displayName/product_activity,EnglishMinimalStemFilter,493,"$4,451.90",swim shirts
lulu lemon bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,472,"$3,676.75",
align jackets,N,collections/product_customAttribute4/parentCategory_displayName,,522,"$3,862.45",
scuba full zip cropped,N,product_topsLength_s/collections/sku_size/product_customAttribute4,,1256,"$36,978.50",scuba full zip crop
swiftly tech racerback tank top,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,589,"$8,808.40",
cheetah leggings,N,sku_colorCodeDesc/parentCategory_displayName,,393,$553.65,
we made to much sports bras,N,collections/product_customAttribute4/parentCategory_displayName,,54,$0.00,we made to much sports bra/we made to much sport bras
swift pants,N,collections/product_customAttribute4/parentCategory_displayName,,544,"$7,301.40",
pocket shorts,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,497,"$2,975.10",pocket short
sweat short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,441,"$1,484.40",
pack light pullover,N,sku_colorCodeDesc/product_customAttribute4,PorterStemFilter,462,"$5,541.80",
size 0 shorts,N,parentCategory_displayName/sku_size/product_customAttribute4,,392,"$1,292.00",
fast and free running hat,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,EnglishMinimalStemFilter,545,"$6,516.55",
fast and free shirt,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,548,"$6,176.50",fast and free top/fast and free shirts
we made too much align,N,collections/parentCategory_displayName,,332,"$1,475.10",
long shirt,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,423,"$3,296.70",
blissfeel 2,N,collections/sku_size/product_inseam,PatternReplaceFilter,821,"$20,330.30",
fast and free running belt,N,collections/product_customAttribute4/product_activity,,1146,"$17,007.45",fast and free run belt
base pace 28,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/sku_size,PatternReplaceFilter,334,"$2,508.30",
logo polo,N,sku_colorCodeDesc/parentCategory_displayName,,507,"$7,494.65",
energy bra long line,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,426,"$5,826.85",
fast and free tank,N,collections/product_customAttribute4/parentCategory_displayName,,667,"$7,210.95",
cheetah print,N,sku_colorGroup/sku_colorCodeDesc,PorterStemFilter,436,$233.00,
long shorts,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,,365,"$1,514.50",
logo sport polo,N,sku_colorCodeDesc/parentCategory_displayName,EnglishMinimalStemFilter,559,"$13,617.40",
black gold,N,sku_colorGroup/sku_colorCodeDesc,,476,"$6,898.80",
poolside align,N,sku_colorCodeDesc/collections,,370,$527.80,
camo hotty hot,N,sku_colorCodeDesc/collections,,426,$39.00,
like a cloud d,N,collections/sku_size,,429,"$2,946.00",
cardigan sweater,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,328,"$2,923.95",
neon yellow shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,337,$970.00,neon yellow short
fundamental pocket,N,sku_colorCodeDesc/collections/product_customAttribute4,,405,"$3,997.90",
surge lined,N,sku_colorCodeDesc/collections,,601,"$11,128.50",
bone shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,396,"$3,366.90",
commission short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,8893,"$166,501.73",commission short
speed up shorts 25,N,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,402,"$2,769.80",speed up short 25
pink blossom,N,sku_colorGroup/sku_colorCodeDesc,,401,"$1,095.15",
we made too much bras,N,product_customAttribute4/parentCategory_displayName,,249,"$1,015.65",
align l,N,collections/sku_size,,592,"$4,802.60",
yellow leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,336,"$1,726.30",
fast and free belt,N,collections/product_customAttribute4,,705,"$5,846.30",
steady state crew,N,collections/product_customAttribute4,,1158,"$38,501.00",
swim short,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,406,"$3,481.15",
wunder under tank,N,collections/parentCategory_displayName,,416,"$2,835.00",
blue swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,424,$857.00,
ready to rulu pullover,N,sku_colorCodeDesc/collections/product_customAttribute4,,505,"$6,998.25",
men slides,N,product_customAttribute4/gender,,627,"$8,300.50",
tennis shoes,N,product_customAttribute4/parentCategory_displayName/product_activity,,458,"$3,064.00",
travel mat,Y,parentCategory_displayName/product_customAttribute4/sku_size/product_activity,EnglishMinimalStemFilter,440,"$4,065.35",
5 in shorts,Y,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,427,"$4,031.60",5 in short
white tennis dress,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter/PorterStemFilter,308,"$3,570.65",
5 in,Y,sku_size/collections/product_customAttribute4/product_inseam,PatternReplaceFilter,395,"$2,397.60",
ice blue,N,sku_colorGroup/sku_colorCodeDesc,,271,$562.00,
energy tank,N,collections/parentCategory_displayName,,414,"$1,701.80",
poolside swiftly,N,sku_colorCodeDesc/collections,,385,$478.80,
yoga shirt,Y,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter,339,"$2,551.65",
all night bag,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,369,"$4,169.45",
pink dress,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,366,"$2,757.75",
classic tank,N,sku_colorCodeDesc/parentCategory_displayName,,404,"$4,131.00",
shorts size 0,N,sku_size/product_customAttribute4/parentCategory_displayName,,339,$612.00,short size 0
we made too much men,N,gender/parentCategory_displayName,,411,"$3,705.60",
bag pack,Y,product_customAttribute4/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,356,"$1,430.00",
dark blue shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,276,$272.00,
java belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,320,$368.60,
we made too much size 0,N,sku_size/parentCategory_displayName,,13,$0.00,
lulu align shorts,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,445,"$3,739.10",lulu align short
t.h.e. short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,364,"$3,491.25",
25 align,Y,collections/product_inseam/sku_size,PatternReplaceFilter,407,"$6,796.90",
oversized shirt,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,434,"$2,639.55",oversized shirts
glow on hair ties,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,PorterStemFilter,532,"$2,385.00",
wunder under train,Y,collections/product_customAttribute4/product_activity,PorterStemFilter,571,"$7,515.45",
yellow shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,309,"$1,887.45",
long align tank,N,product_topsLength_s/collections/parentCategory_displayName,,359,$644.80,
swiftly tech black,N,sku_colorGroup/sku_colorCodeDesc/collections,,417,"$2,468.70",
workout dress,N,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter/PorterStemFilter,278,$562.00,
long skirts,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,,225,"$1,586.75",
size 16,N,product_inseam/sku_size,PatternReplaceFilter,347,"$4,989.00",
size 18,N,product_inseam/sku_size,PatternReplaceFilter,342,"$4,062.50",
25 leggings,Y,product_inseam/sku_size/parentCategory_displayName,PatternReplaceFilter,304,"$4,296.65",25 tights
like a cloud long,N,product_topsLength_s/collections/sku_size/parentCategory_displayName,,447,"$6,188.25",
bell bottom,N,sku_colorCodeDesc/product_customAttribute4,PorterStemFilter/EnglishMinimalStemFilter,363,"$3,383.00",
train to be tank top,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter,419,"$3,339.30",
java tank,N,sku_colorCodeDesc/parentCategory_displayName,,261,"$1,405.10",
travel yoga mat,Y,parentCategory_displayName/product_customAttribute4/sku_size/product_activity,EnglishMinimalStemFilter,369,"$3,164.60",
red swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,340,$469.65,
black le,N,sku_colorGroup/sku_colorCodeDesc,,430,"$1,470.00",
