Left Term,Match Type,Entity,Original Line,Rewritten Line
wrap top,,,"wrap top => wrap shirt, wrap front","wrap top => wrap top, wrap shirt, wrap front"
crescent tee,,,"crescent tee => crescent tee, crescent t shirt","crescent tee => crescent tee, crescent tee, crescent t shirt"
free to be moved,,,free to be moved => free to be bra,"free to be moved => free to be moved, free to be bra"
skincare,,,"skincare => balm, deodorant, deoderant, lotion, hand sanitizer, sunscreen, moisturizer","skincare => skincare, balm, deodorant, deoderant, lotion, hand sanitizer, sunscreen, moisturizer"
skin care,,,"skin care => balm, deodorant, deoderant, lotion, hand sanitizer, sunscreen, moisturizer","skin care => skin care, balm, deodorant, deoderant, lotion, hand sanitizer, sunscreen, moisturizer"
deep red,,,"deep red => dark red, red merlot, deep red","deep red => deep red, dark red, red merlot, deep red"
cream,,,"cream => white opal, cream","cream => cream, white opal, cream"
diaper,,,diaper => new parent,"diaper => diaper, new parent"
bright blue,,,"bright blue => royal blue, regatta blue, cerulean blue, symphony blue, blue nile, bluebell, blazer blue, capri, capture blue","bright blue => bright blue, royal blue, regatta blue, cerulean blue, symphony blue, blue nile, bluebell, blazer blue, capri, capture blue"
track that mr,,,track that mr => track that,"track that mr => track that mr, track that"
black groove,,,"black groove => groove pant, black flare pant","black groove => black groove, groove pant, black flare pant"
olympic gear,,,olympic gear => team canada,"olympic gear => olympic gear, team canada"
puffer scarf,,,"puffer scarf => down scarf, quilted scarf, insulated scarf","puffer scarf => puffer scarf, down scarf, quilted scarf, insulated scarf"
puffy scarf,,,"puffy scarf => down scarf, quilted scarf, insulated scarf","puffy scarf => puffy scarf, down scarf, quilted scarf, insulated scarf"
little backpack,,,"little backpack => nano backpack, small backpacks","little backpack => little backpack, nano backpack, small backpacks"
reveal bra,,,"reveal bra => ebb to street bra, ebb to train bra","reveal bra => reveal bra, ebb to street bra, ebb to train bra"
scuba pullover,,,"scuba pullover => scuba hoodie, scuba crew, scuba half zip, scuba oversized","scuba pullover => scuba pullover, scuba hoodie, scuba crew, scuba half zip, scuba oversized"
scuba pullover,,,"scuba pullover => scuba hoodie, scuba sweatshirt","scuba pullover => scuba pullover, scuba hoodie, scuba sweatshirt"
keychain,,,"keychain => keychain, nano backpack","keychain => keychain, keychain, nano backpack"
key pouch,,,"key pouch => logo pouch, nano backpack, small things count kit","key pouch => key pouch, logo pouch, nano backpack, small things count kit"
keychain wallet,,,"keychain wallet => logo pouch, nano backpack, small things count kit","keychain wallet => keychain wallet, logo pouch, nano backpack, small things count kit"
