Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
belt bay,N,product_customAttribute4(belt)/sku_colorCodeDesc(bay),,890,"$3,691.15"
align bike,N,collections(align)/product_activity(bike),,848,"$2,189.15"
align 31,Y,collections(align)/sku_size(31)/product_inseam(31),PatternReplaceFilter(31),1140,"$19,139.85"
swift tech short sleeve,N,collections(swift_tech)/product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),804,"$7,755.05"
kelly green tank,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/parentCategory_displayName(tank),,599,"$4,086.55"
hike to swim,N,product_activity(hike_swim)/collections(to)/parentCategory_displayName(swim),PorterStemFilter(hike),833,"$4,940.65"
scuba oversized half zip,N,collections(oversized_scuba)/product_customAttribute4(half_zip),,2219,"$90,681.80"
pace breaker lined short,N,collections(breaker_pace)/sku_colorCodeDesc(lined_pace_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),1299,"$37,951.45"
pace breaker 9,Y,collections(breaker_pace)/sku_colorCodeDesc(pace)/sku_size(9)/product_inseam(9),PatternReplaceFilter(9),916,"$13,488.40"
run swiftly,Y,collections(run_swiftly)/product_activity(run)/product_customAttribute4(run),PorterStemFilter(run),1022,"$13,327.40"
invigorate tank,N,collections(invigorate)/parentCategory_displayName(tank),,673,"$2,101.80"
button up,N,parentCategory_displayName(button)/collections(up)/product_customAttribute4(up),,790,"$5,460.35"
diamond dye silver blue tidewater teal graphite grey,N,sku_colorCodeDesc(blue_diamond_dye_graphite_grey_silver_teal_tidewater)/sku_colorGroup(blue_grey),,44,$0.00
long sleeve polo,N,product_topsLength_s(long)/parentCategory_displayName(long_polo_sleeve),,1103,"$19,679.15"
lululemon define jacket,N,collections(define_lululemon)/parentCategory_displayName(jacket_lululemon)/sku_colorCodeDesc(lululemon)/product_customAttribute4(jacket),EnglishMinimalStemFilter(jacket),922,"$8,648.55"
java scuba,N,sku_colorCodeDesc(java)/collections(scuba),,850,"$6,107.30"
we made to much define jacket,N,parentCategory_displayName(jacket_made_much_we)/collections(define_to)/product_customAttribute4(jacket),EnglishMinimalStemFilter(jacket),32,$0.00
lululemon align tank top,N,collections(align_lululemon)/parentCategory_displayName(lululemon_tank_top)/sku_colorCodeDesc(lululemon)/product_customAttribute4(top),EnglishMinimalStemFilter(top),1305,"$23,198.15"
tech shirt,Y,collections(tech)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),818,"$6,630.85"
fast and,N,collections(fast)/product_customAttribute4(and),,1001,"$8,883.90"
train to be shirt,N,collections(be_to_train)/product_activity(train)/product_customAttribute4(shirt_train)/parentCategory_displayName(shirt),PorterStemFilter(train)/EnglishMinimalStemFilter(shirt),648,"$4,781.70"
wunder contour,N,collections(wunder)/sku_colorCodeDesc(contour),,676,"$6,567.65"
fast and free 23,N,collections(fast_free)/product_customAttribute4(and)/product_inseam(23),PatternReplaceFilter(23),764,"$13,510.00"
hot yoga mat,N,sku_colorCodeDesc(hot)/collections(hot)/product_activity(yoga)/product_customAttribute4(mat_yoga)/parentCategory_displayName(mat_yoga),EnglishMinimalStemFilter(mat),570,"$6,724.30"
lulu leggings,N,sku_colorCodeDesc(lulu)/parentCategory_displayName(leggings),,678,"$2,819.10"
swift tech shirt,N,collections(swift_tech)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),609,"$3,451.60"
white camo leggings,N,sku_colorGroup(white)/sku_colorCodeDesc(camo_white)/parentCategory_displayName(leggings),,671,$610.00
hiking shirt,Y,product_activity(hiking)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),601,"$5,045.10"
dance studio full,N,collections(dance_studio)/product_activity(dance)/sku_size(full),,654,"$6,282.90"
align bike shorts,N,collections(align)/product_activity(bike)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,808,"$4,521.00"
loungeful pants,N,collections(loungeful)/product_customAttribute4(pants)/parentCategory_displayName(pants),,581,"$1,052.15"
city pants,N,collections(city)/product_customAttribute4(pants)/parentCategory_displayName(pants),,636,"$8,433.79"
athletic dress,N,product_customAttribute4(athletic_dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),538,"$1,530.50"
swiftly tech we made to much,N,collections(swiftly_tech_to)/parentCategory_displayName(made_much_we),,34,$0.00
purple shirt,Y,sku_colorGroup(purple)/sku_colorCodeDesc(purple)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),689,"$3,245.15"
crop sweatshirt,Y,product_topsLength_s(crop)/product_customAttribute4(sweatshirt)/parentCategory_displayName(sweatshirt),PorterStemFilter(crop)/EnglishMinimalStemFilter(sweatshirt),720,"$9,394.65"
wunder train pocket,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(pocket_train)/sku_colorCodeDesc(pocket),PorterStemFilter(train),787,"$12,078.50"
lululemon scuba,N,collections(lululemon_scuba)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon),,874,"$6,788.30"
crop jogger,N,product_topsLength_s(crop)/parentCategory_displayName(jogger),PorterStemFilter(crop)/EnglishMinimalStemFilter(jogger),647,"$9,929.15"
black and gold,N,sku_colorGroup(black)/sku_colorCodeDesc(black_gold)/product_customAttribute4(and),,900,"$9,281.60"
city sweat short,Y,collections(city_sweat)/product_customAttribute4(short_sweat)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short),EnglishMinimalStemFilter(short),637,"$5,852.80"
swiftly tech crop,N,collections(swiftly_tech)/product_topsLength_s(crop),PorterStemFilter(crop),1243,"$19,562.30"
swiftly polo,N,collections(swiftly)/parentCategory_displayName(polo),,680,"$4,963.15"
bowline short 5,Y,collections(5_bowline)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(5_short)/sku_size(5)/product_inseam(5),EnglishMinimalStemFilter(short)/PatternReplaceFilter(5),1042,"$22,216.05"
swiftly racerback,N,collections(racerback_swiftly)/product_customAttribute4(racerback),,670,"$6,776.95"
lip gloss scuba,N,sku_colorCodeDesc(gloss_lip)/collections(scuba),,771,"$2,128.60"
tank dress,N,parentCategory_displayName(dress_tank)/product_customAttribute4(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),518,"$4,051.70"
city sweat pullover,N,collections(city_sweat)/product_customAttribute4(pullover_sweat),,1128,"$27,460.25"
lululemon define,N,collections(define_lululemon)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon),,765,"$7,927.95"
swift speed 28,Y,collections(speed_swift)/sku_size(28)/product_inseam(28),PatternReplaceFilter(28),570,"$6,697.53"
tank top we made too much,N,parentCategory_displayName(made_much_tank_too_top_we)/product_customAttribute4(top),EnglishMinimalStemFilter(top),34,$0.00
full on luxtreme,N,sku_size(full_on)/product_activity(on)/collections(on)/product_customAttribute4(on)/sku_colorCodeDesc(luxtreme),PorterStemFilter(on),454,$494.80
fast and free run hat m,N,collections(fast_free_run)/product_customAttribute4(and_hat_run)/product_activity(run)/parentCategory_displayName(hat)/sku_size(m),PorterStemFilter(run)/EnglishMinimalStemFilter(hat),28,$0.00
we made too much ebb to street,N,parentCategory_displayName(made_much_too_we)/collections(ebb_street_to),,28,$0.00
neon green,N,sku_colorGroup(green_neon)/sku_colorCodeDesc(green),,545,"$1,234.00"
we made to much shorts,N,parentCategory_displayName(made_much_shorts_we)/collections(to)/product_customAttribute4(shorts),,345,$166.00
midi dress,Y,product_topsLength_s(midi)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),665,"$6,859.80"
run belt,Y,collections(run)/product_activity(run)/product_customAttribute4(belt_run),PorterStemFilter(run),908,"$5,860.70"
hot pink belt bag,N,sku_colorCodeDesc(hot_pink)/collections(hot)/sku_colorGroup(pink)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),717,"$1,991.80"
align 25 leggings,Y,collections(align)/sku_size(25)/product_inseam(25)/parentCategory_displayName(leggings),PatternReplaceFilter(25),489,"$7,207.10"
crop 17,N,product_topsLength_s(crop)/product_inseam(17),PorterStemFilter(crop)/PatternReplaceFilter(17),346,"$1,866.45"
lulu belt bag,N,sku_colorCodeDesc(lulu)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),737,"$4,580.65"
workout mat,Y,product_activity(workout)/product_customAttribute4(mat)/parentCategory_displayName(mat),EnglishMinimalStemFilter(mat),729,"$10,742.45"
size 2,N,sku_size(2_size)/product_inseam(2),PatternReplaceFilter(2),632,"$3,109.80"
lip gloss shirt,Y,sku_colorCodeDesc(gloss_lip)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),504,"$3,542.65"
cheetah camo antique white multi,N,sku_colorCodeDesc(antique_camo_cheetah_multi_white)/sku_colorGroup(white),,497,"$2,300.45"
swift tank,N,collections(swift)/parentCategory_displayName(tank),,561,"$4,868.60"
swiftly tech top,N,collections(swiftly_tech)/parentCategory_displayName(top)/product_customAttribute4(top),EnglishMinimalStemFilter(top),619,"$2,968.30"
swiftly tech long sleeve shirt,N,collections(swiftly_tech)/product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),1113,"$31,247.35"
crop 23,N,product_topsLength_s(crop)/product_inseam(23),PorterStemFilter(crop)/PatternReplaceFilter(23),389,"$4,005.70"
city sweat crew,N,collections(city_sweat)/product_customAttribute4(crew_sweat),,607,"$6,308.00"
cheetah print swiftly tech short sleeve,N,sku_colorCodeDesc(cheetah_print_short)/sku_colorGroup(print)/collections(swiftly_tech)/product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/product_customAttribute4(short),PorterStemFilter(print)/EnglishMinimalStemFilter(short),29,$0.00
camouflage leggings,N,sku_colorGroup_fr(camouflage)/parentCategory_displayName(leggings),,395,"$2,286.00"
sonic pink shirt,Y,sku_colorCodeDesc(pink_sonic)/sku_colorGroup(pink)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),468,"$2,013.30"
leggings pocket,N,parentCategory_displayName(leggings)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket),,460,"$8,448.15"
"5"" short",Y,"product_inseam(5"")/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)",EnglishMinimalStemFilter(short),597,"$4,619.05"
"4"" short",Y,"product_inseam(4"")/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)",EnglishMinimalStemFilter(short),581,"$3,749.40"
half tight,N,product_customAttribute4(half)/collections(tight)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),489,"$5,353.55"
swift shirt,N,collections(swift)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),495,"$2,264.65"
like a cloud long line,N,collections(a_cloud_like)/sku_size(a)/product_topsLength_s(long)/parentCategory_displayName(long)/sku_colorCodeDesc(line),PorterStemFilter(line),595,"$6,397.80"
women dress,Y,gender(women)/parentCategory_displayName(dress_women)/product_customAttribute4(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),357,"$2,689.15"
lulu align tank,N,sku_colorCodeDesc(lulu)/collections(align)/parentCategory_displayName(tank),,726,"$8,035.70"
built in bra tank,N,collections(built_in)/parentCategory_displayName(bra_tank)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),430,"$3,033.80"
sonic pink align tank,N,sku_colorCodeDesc(pink_sonic)/sku_colorGroup(pink)/collections(align)/parentCategory_displayName(tank),,555,"$1,180.20"
short leggings,N,product_topsLength_s(short)/parentCategory_displayName(leggings_short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),465,"$3,600.50"
crop 21,N,product_topsLength_s(crop)/product_inseam(21),PorterStemFilter(crop)/PatternReplaceFilter(21),405,"$2,551.65"
we made too much hotty hot,N,parentCategory_displayName(made_much_too_we)/collections(hot_hotty)/sku_colorCodeDesc(hot),,115,$166.00
pink peony leggings,N,sku_colorCodeDesc(peony_pink)/sku_colorGroup(pink)/parentCategory_displayName(leggings),,371,"$2,639.80"
align short sleeve,N,collections(align)/product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),618,$726.30
fast and free high,N,collections(fast_free)/product_customAttribute4(and_high),,590,"$12,026.05"
pace breaker lined 7,N,collections(breaker_pace)/sku_colorCodeDesc(lined_pace)/sku_size(7)/product_inseam(7),PatternReplaceFilter(7),507,"$8,196.75"
energy long line,N,collections(energy)/product_topsLength_s(long)/parentCategory_displayName(long)/sku_colorCodeDesc(line),PorterStemFilter(line),553,"$4,455.20"
wunder train racerback tank,N,collections(racerback_train_wunder)/product_activity(train)/product_customAttribute4(racerback_train)/parentCategory_displayName(tank),PorterStemFilter(train),584,"$5,915.40"
love crewneck t-shirt,N,collections(love)/sku_colorCodeDesc(love)/product_customAttribute4(crewneck)/parentCategory_displayName(t-shirt),EnglishMinimalStemFilter(t-shirt),589,"$5,537.22"
long pants,N,product_topsLength_s(long)/parentCategory_displayName(long_pants)/product_customAttribute4(pants),,483,"$3,492.00"
poolside tank,N,sku_colorCodeDesc(poolside)/parentCategory_displayName(tank),,419,$830.50
wunder train high,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(high_train),PorterStemFilter(train),827,"$26,166.70"
green shirt,Y,sku_colorGroup(green)/sku_colorCodeDesc(green)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),523,"$3,016.85"
wunder train tight,Y,collections(tight_train_wunder)/product_activity(train)/product_customAttribute4(train)/parentCategory_displayName(tight),PorterStemFilter(train)/EnglishMinimalStemFilter(tight),563,"$8,552.50"
shirt sleeve shirt,Y,product_customAttribute4(shirt)/parentCategory_displayName(shirt_sleeve),EnglishMinimalStemFilter(shirt),372,$980.00
tight shirt,Y,collections(tight)/parentCategory_displayName(shirt_tight)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt_tight),568,$700.05
align s,N,collections(align)/sku_size(s),,544,"$1,894.80"
we made too much black shorts,N,parentCategory_displayName(made_much_shorts_too_we)/sku_colorGroup(black)/sku_colorCodeDesc(black)/product_customAttribute4(shorts),,16,$0.00
hotty hot 25 shorts,N,collections(hot_hotty)/sku_colorCodeDesc(hot)/sku_size(25)/product_inseam(25)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),PatternReplaceFilter(25),394,"$3,027.80"
fast and free tight,N,collections(fast_free_tight)/product_customAttribute4(and)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),604,"$9,696.95"
pace breaker short 7,Y,collections(breaker_pace)/sku_colorCodeDesc(pace_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short)/sku_size(7)/product_inseam(7),EnglishMinimalStemFilter(short)/PatternReplaceFilter(7),575,"$9,970.05"
cross bags,N,product_customAttribute4(bags_cross)/sku_colorCodeDesc(cross)/parentCategory_displayName(bags),,488,"$4,629.00"
we made too much scuba,N,parentCategory_displayName(made_much_too_we)/collections(scuba),,528,"$3,707.70"
kelly green leggings,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/parentCategory_displayName(leggings),,465,"$4,103.10"
we made too much swiftly,N,parentCategory_displayName(made_much_too_we)/collections(swiftly),,409,$923.40
shorts 5,Y,product_customAttribute4(5_shorts)/parentCategory_displayName(shorts)/collections(5)/sku_size(5)/product_inseam(5),PatternReplaceFilter(5),461,"$3,800.60"
light pink shorts,N,sku_colorCodeDesc(light_pink)/sku_colorGroup(pink)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,405,$954.00
